Tibetan,English
འཇིག་རྟེན་སེམས་ནི་བསྲུང་བའི་ཕྱིར། །བསླབ་པ་མཐོང་ནས་ཡང་དག་སྤྱད། །,"In order to protect the worldly mind,<br>Having seen the precepts, practice them perfectly."
ལུས་དང་སེམས་ཀྱི་གནས་སྐབས་ལ། །ཡང་དང་ཡང་དུ་བརྟག་བྱ་བ། །དེ་ཉིད་ཁོ་ན་མདོར་ན་ནི། །ཤེས་བཞིན་བསྲུང་བའི་མཚན་ཉིད་དོ། །,"Examine again and again<br>The state of your body and mind.<br>This alone, in brief,<br>Is the essence of maintaining mindfulness."
ལུས་ཀྱིས་འདི་དག་སྤྱད་པར་བྱ། །,These should be practiced with the body.
ཚིག་ཙམ་བརྗོད་པས་ཅི་ཞིག་འགྲུབ། །,What is accomplished by merely uttering words?
སྨན་དཔྱད་བཀླགས་པ་ཙམ་གྱིས་ནི། །ནད་པ་དག་ལ་ཕན་འགྱུར་རམ། །,Does merely reading medical texts<br>Benefit the sick?
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས། ཤེས་བཞིན་བསྲུང་བར་བྱ་བ་སྟེ་ལེའུ་ལྔ་པའོ།། །།,"From ""Engaging in the Conduct of Bodhisattvas"":<br>This is the fifth chapter, on guarding alertness."
བསྐལ་པ་སྟོང་དུ་བསགས་པ་ཡི། །སྦྱིན་དང་བདེ་གཤེགས་མཆོད་ལ་སོགས། །ལེགས་སྤྱང་གང་ཡིན་དེ་ཀུན་ཡང་། །ཁོང་ཁྲོ་གཅིག་གིས་འཇོམས་པར་བྱེད། །,"The merit accumulated over a thousand eons<br>Through generosity, offerings to the Buddhas, and other virtuous deeds,<br>All of these positive actions<br>Can be destroyed by a single moment of anger."
ཞེ་སྡང་ལྟ་བུའི་སྡིག་པ་མེད། །,There is no sin like hatred.
བཟོད་པ་ལྟ་བུའི་དཀའ་ཐུབ་མེད། །,There is no austerity like patience.
དེ་བས་བཟོད་ལ་ནན་ཏན་དུ། །སྣ་ཚོགས་ཚུལ་དུ་བསྒོམ་པར་བྱ། །,"Therefore, one should diligently cultivate patience in various ways."
ཞེ་སྡང་ཟུག་རྔུའི་སེམས་འཆང་ན། །ཡིད་ནི་ཞི་བ་ཉམས་མི་མྱོང་། །དགའ་དང་བདེ་བའང་མི་འཐོབ་ལ། །གཉིད་མི་འོང་ཞིང་བརྟན་མེད་འགྱུར། །,"If one harbors anger and resentment in the mind,<br>One will not experience peace of mind.<br>Joy and happiness will not be attained,<br>Sleep will not come, and stability will be lost."
གང་དག་ནོར་དང་བཀུར་སྟི་ཡིས། །དྲིན་བྱིན་དེ་ལ་བརྟེན་གྱུར་པ། །དེ་དག་ཀྱང་ནི་སྡང་ལྡན་པའི། །རྗེ་དཔོན་དེ་ལ་གསོད་པར་རྒོལ། །,"Those who have been given wealth and honors,<br>And have come to rely on that benefactor,<br>Even they will turn against<br>That hostile master and seek to destroy him."
དེ་ཡིས་མཛའ་བཤེས་སྐྱོ་བར་འགྱུར། །,"By that, friends become weary."
སྦྱིན་པས་བསྡུས་ཀྱང་བསྟེན་མི་བྱེད། །,"Even if attracted by generosity, one should not become dependent."
མདོར་ན་ཁྲོ་བ་བདེར་གནས་པ། །དེ་ནི་འགའ་ཡང་ཡོད་མ་ཡིན། །,"In short, there is no one at all<br>Who dwells in happiness while angry."
ཁྲོ་བའི་དགྲ་ཡིས་དེ་ལ་སོགས། །སྡུག་བསྔལ་དག་ནི་བྱེད་པར་འགྱུར། །,The enemy of anger and the like<br>Will bring about suffering.
གང་ཞིག་བསྒྲིམས་ཏེ་ཁྲོ་འཇོམས་པ། །དེ་ནི་འདི་དང་གཞན་དུ་བདེ། །,One who diligently overcomes anger<br>Will be happy in this life and the next.
མི་འདོད་བྱས་དང་འདོད་པ་ཡི། །གེགས་བྱས་པ་ལ་བྱུང་གྱུར་པ། །ཡིད་མི་བདེ་བའི་ཟས་རྙེད་ནས། །ཞེ་སྡང་བརྟས་ཏེ་བདག་འཇོམས་སོ། །,"When unwanted actions occur<br>And desired ones are obstructed,<br>Finding nourishment in mental discomfort,<br>Anger grows strong and destroys the self."
དེ་ལྟས་བདག་གིས་དགྲ་བོ་དེའི། །ཟས་ནི་རྣམ་པར་གཞོམ་པར་བྱ། །,"Therefore, I shall utterly destroy<br>That enemy's food."
འདི་ལྟར་བདག་ལ་གནོད་པ་ལས། །དགྲ་འདི་ལ་ནི་ལས་གཞན་མེད། །,"Thus, other than harming me,<br>This enemy has no other purpose."
ཅི་ལ་བབ་ཀྱང་བདག་གིས་ནི། །དགའ་བའི་ཡིད་ནི་དཀྲུགས་མི་བྱ། །,"Whatever befalls me,<br>I shall not disturb my joyful mind."
མི་དགའ་བྱས་ཀྱང་འདོད་མི་འགྲུབ། །,"Even if you are displeased, desires will not be fulfilled."
དགེ་བ་དག་ནི་ཉམས་པར་འགྱུར། །,Virtuous deeds will decline.
གལ་ཏེ་བཅོས་སུ་ཡོད་ན་ནི། །དེ་ལ་མི་དགར་ཅི་ཞིག་ཡོད། །,"If it can be remedied,<br>Why be displeased about it?"
གལ་ཏེ་བཅོས་སུ་མེད་ན་ནི། །དེ་ལ་མི་དགའ་བྱས་ཅི་ཕན། །,"If it cannot be changed,<br>What use is there in being displeased about it?"
བདག་གམ་བདག་གི་བཤེས་རྣམས་ལ། །སྡུག་བསྔལ་བརྙས་དང་ཚིག་རྩུབ་དང་། །མི་སྙན་ཞེས་བྱ་མི་འདོད་དེ། །,"To myself or my friends,<br>Suffering, contempt, and harsh words,<br>And what is called unpleasant - these are not desired."
དགྲ་ལ་དེ་ལས་བཟློག་པས་སོ། །,"To enemies, do the opposite of that."
བདེ་བའི་རྒྱུ་ནི་རེས་འགའ་འབྱུང་། །,The causes of happiness arise only occasionally.
སྡུག་བསྔལ་རྒྱུ་ནི་ཤིན་ཏུ་མང་། །,The causes of suffering are extremely numerous.
སྡུག་བསྔལ་མེད་པར་ངེས་འབྱུང་མེད། །,"Without suffering, there is no renunciation."
དེ་བས་སེམས་ཁྱོད་བརྟན་པར་མནོས། །,"Therefore, mind, resolve to be steadfast."
དཀའ་ཟློག་དད་དང་ཀརྞ་པ། །བསྲེག་དང་བཅད་སོགས་ཚོར་བ་ནི། །དོན་མེད་བཟོད་བྱེད་ཐར་པ་ཡི། །དོན་དུ་བདག་གོ་,"Overcoming difficulties with faith and devotion,<br>Enduring sensations of burning, cutting, and more,<br>I bear these meaningless sufferings<br>For the sake of liberation."
ཅི་ཕྱིར་སྔར། །གོམས་ན་སླ་བར་མི་འགྱུར་བའི། །དངོས་དེ་གང་ཡང་ཡོད་མ་ཡིན། །,"Why is there nothing<br>That does not become easy<br>When practiced before?<br>Indeed, no such thing exists."
དེ་བས་གནོད་པ་ཆུང་གོམས་པས། །གནོད་པ་ཆེན་པོ་བཟོད་པར་བྱོས། །,"Therefore, by becoming accustomed to small harms,<br>Learn to endure great harms."
སྦྲུལ་དང་ཤ་སྦྲང་དག་དང་ནི། །བཀྲེས་སྐོམ་ལ་སོགས་ཚོར་བ་དང་། །གཡན་པ་ལ་སོགས་བཅས་པ་ཡི། །དོན་མེད་སྡུག་བསྔལ་ཅིས་མ་མཐོང་། །,"Why have you not seen the pointless suffering<br>Caused by snakes and mosquitoes,<br>The sensations of hunger and thirst,<br>And afflictions like itching and the like?"
ཚ་གྲང་ཆར་དང་རླུང་སོགས་དང་། །ནད་དང་འཆིང་དང་རྡེག་སོགས་ལ། །བདག་གིས་བཟེ་རེ་མི་བྱ་སྟེ། །,"To heat and cold, rain and wind,<br>To sickness, bondage and beatings,<br>I shall not be averse."
དེ་ལྟར་བྱས་ན་གནོད་པ་འཕེལ། །,"If one acts in that way, harm will increase."
ལ་ལ་བདག་གི་ཁྲག་མཐོང་ན། །དཔའ་བརྟན་ལྷག་པར་སྐྱེ་འགྱུར་ཡོད། །,"Some, upon seeing their own blood,<br>Become even more courageous and steadfast."
ལ་ལ་གཞན་གྱི་ཁྲག་མཐོང་ན། །བོག་ཅིང་བརྒྱལ་བར་འགྱུར་བ་ཡོད། །,"Some people, upon seeing the blood of others,<br>Become faint and lose consciousness."
དེ་ནི་སེམས་ཀྱི་ངང་བརྟན་དང་། །སྔར་མའི་ཚུལ་ལས་གྱུར་པ་ཡིན། །,That is the result of a steady mind<br>And the transformation of previous habits.
དེ་བས་གནོད་པ་ཁྱད་བསད་ཅིང་། །སྡུག་བསྔལ་རྣམས་ཀྱིས་མི་ཚུགས་བྱོས། །,"Therefore, disregard harm,<br>And remain unaffected by sufferings."
མཁས་པས་སྡུག་བསྔལ་བྱུང་ཡང་ནི། །སེམས་ཀྱི་རབ་དང་རྙོག་མི་བྱ། །,"Even when suffering arises, the wise<br>Do not disturb or agitate their minds."
ཉོན་མོངས་རྣམས་དང་གཡུལ་འགྱེད་ལ། །,Engage in battle with the afflictions.
གཡུལ་འགྱེད་ཚེ་ན་གནོད་པ་མང་། །,"In times of battle, there are many harms."
